generos
Action Adventure
Action
Adventure
Sports
Driving
Miscellaneous
Role-Playing
Puzzle
Modern
Strategy
General
Action RPG
Platformer
Fantasy
Other
Simulation
Card Battle
Dancing
Fighting
Traditional
Sci-Fi
Shooter
First-Person
Pinball
Racing
Horror
Arcade
Historic
Turn-Based
Scrolling
PC-style RPG
Console-style RPG
Music
Third-Person
Breeding/Constructing
Military
WWI
Massively Multiplayer Online
GT / Street
Olympic Sports
Futuristic
Party
Tycoon
"""Beat-Em-Up"""
City Building
2D
Ice Hockey
Japanese-Style
Massively Multiplayer
3D
Government
Compilation
Rally / Offroad
Visual Novel
Stacking
Survival
Real-Time
Alternative
Baseball
Rhythm
Flight
Car Combat
Management
Virtual
Submarine
Kart
Open-World
Team
Point-and-Click
Individual
Beat-Em-Up
Train
Trainer
Exercise / Fitness
Board / Card Game
Board Games
Linear
Wargame
Edutainment
Party / Minigame
Trivia / Game Show
Western-Style
Matching
Music Maker
Nature
Mission-based
Roguelike
Logic
Application
Ship
Demolition Derby
Soccer
Vehicle
Space
Hidden Object
Text
Gambling
Sandbox
Parlor
Small Spaceship
Virtual Life
Marine
Rail
Videos
Shoot-Em-Up
Large Spaceship
Sim
Business / Tycoon
Football
Basketball
Skateboarding
Snow / Water
WWII
Tennis
Golf
Wrestling
Static
Modern Jet
Civilian Plane
Tactics
4X
Motorcycle
Stock Car
Command
Automobile
Mech
Skate / Skateboard
Combat
Helicopter
Light Gun
Career
Fishing
Boxing
Volleyball
Civilian
MOBA
Biking
Surfing
Formula One
Defense
Snowboarding
Billiards
Athletics
Truck
Hunting
Rugby
Ski / Snowboard
Tank
Interactive Movie
Skating
Cricket
Horizontal
Horse Racing
On-foot
Bowling
Futuristic Sub
Surf / Wakeboard
Wakeboarding
Artillery
Tactical
Street
Top-Down
Vertical
Futuristic Jet
Boxing / Martial Arts
Motocross
Drag
Skiing
Pet
